feature,fs_linear,fs_wrapper,fs_xgboost_shap,fs_permutation_stability,fs_consensus
GDP,1,1,1,0,1
Population,1,1,1,0,1
Air_Temp,1,1,1,0,1
Rainfall,1,1,1,0,1
Grid_gas_share,1,1,0,1,1
Grid_CI_high_share,1,1,1,0,1
Grid_CI_std,1,1,1,0,1
OWID_LowCarbonShare_L1Y,1,0,0,1,1
Grid_wind_share,0,1,0,1,1
Grid_fossil_share,0,1,0,1,1
Mobility_Parks,1,1,0,0,1
Grid_renewable_share,0,1,0,0,0
Mobility_Retail_Recreation,0,1,0,0,0
COVID_Deaths,1,0,0,0,0
Mobility_Workplaces,0,1,0,0,0
OWID_RenewableShare_L1Y,0,0,0,1,0
Grid_low_carbon_share,1,0,0,0,0
Grid_CI_mean,0,1,0,0,0
Grid_CI_p90,0,1,0,0,0
Mobility_Grocery_Pharmacy,0,0,0,0,0
Mobility_Residential,0,0,0,0,0
Mobility_Transit_Stations,0,0,0,0,0
Grid_CI_low_share,0,0,0,0,0
