feature,fs_linear,fs_wrapper,fs_xgboost_shap,fs_permutation_stability,fs_consensus
Mobility_Parks,1,1,0,1,1
CO2e_lag4,1,1,1,0,1
CO2e_lag2,1,1,1,0,1
GDP,0,1,1,0,1
Population,0,1,1,0,1
COVID_Deaths,1,1,0,0,1
Mobility_Grocery_Pharmacy,1,0,0,1,1
Rainfall,1,1,0,0,1
Air_Temp,0,1,1,0,1
Q4,1,1,0,0,1
Mobility_Transit_Stations,0,1,0,1,1
Mobility_Residential,0,1,0,1,1
Mobility_Workplaces,0,1,0,1,1
GDP_dlog,1,1,0,0,1
COVID,1,1,0,0,1
Q2,1,1,0,0,1
HDD_proxy,1,1,0,0,1
Mobility_Retail_Recreation,0,1,0,0,0
Q3,0,1,0,0,0
CO2e_lag1,0,1,0,0,0
CO2e_dlog,0,1,0,0,0
CO2e_lag3,0,0,0,0,0
CO2e_per_Population,0,0,0,0,0
CDD_proxy,0,0,0,0,0
EnergyCrisis,0,0,0,0,0
